#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	<B_ext_z
0	0	1	0	0.001	0	0
1.0099999999999994e-10	0.001762696930214994	0.9998430953698856	0.017626047189636375	0.001	0	0
2.0199999999999959e-10	0.0035317957770959986	0.9993701476609589	0.035310542024137505	0.001	0	0
3.0299999999999926e-10	0.00530730855691809	0.9985778639105919	0.0530479233632422	0.001	0	0
4.039999999999989e-10	0.007089247085146416	0.9974630310466115	0.0708325084437218	0.001	0	0
5.049999999999986e-10	0.008877622972306428	0.9960225195168333	0.08865849308763693	0.001	0	0
6.059999999999982e-10	0.010672447619810923	0.9942532869678211	0.1065199519973836	0.001	0	0
7.069999999999979e-10	0.01247373221574385	0.9921523819715851	0.12441083914022003	0.001	0	0
8.079999999999975e-10	0.014281487730601146	0.9897169477988427	0.14232498822498513	0.001	0	0
9.089999999999972e-10	0.01609572491298849	0.9869442262373676	0.1602561132737323	0.001	0	0
1.010000000000005e-09	0.017916454285275954	0.9838315614538503	0.17819780929102272	0.001	0	0
1.111000000000015e-09	0.019743686139209845	0.980376403897596	0.1961435530336281	0.001	0	0
1.2120000000000252e-09	0.021577430531481732	0.9765763142442763	0.21408670388340162	0.001	0	0
1.3130000000000353e-09	0.023417697279255082	0.9724289673778491	0.2320205048260891	0.001	0	0
1.4140000000000454e-09	0.025264495955648773	0.9679321564086459	0.2499380835388439	0.001	0	0
1.5150000000000555e-09	0.027117835885179093	0.9630837967255186	0.2678324535892223	0.001	0	0
1.6160000000000656e-09	0.02897772613915866	0.9578819300798227	0.28569651574842336	0.001	0	0
1.7170000000000757e-09	0.03084417553105405	0.952324728698894	0.30352305942153934	0.001	0	0
1.8180000000000857e-09	0.03271719261180134	0.946410499426561	0.3213047641975615	0.001	0	0
1.919000000000084e-09	0.03459678566508	0.9401376878881107	0.3390342015218908	0.001	0	0
2.0200000000000733e-09	0.03648296270254585	0.933504882677004	0.3567038364940698	0.001	0	0
2.1210000000000625e-09	0.03837573145902268	0.9265108195605131	0.37430602979343475	0.001	0	0
2.2220000000000517e-09	0.04027509938765325	0.9191543857013198	0.3918330397353729	0.001	0	0
2.323000000000041e-09	0.042181073655010226	0.9114346238919864	0.4092770244608359	0.001	0	0
2.42400000000003e-09	0.044093661136166286	0.9033507367990874	0.4266300442617077	0.001	0	0
2.5250000000000193e-09	0.04601286840972539	0.894902091213641	0.44388406404462666	0.001	0	0
2.6260000000000085e-09	0.04793870175281387	0.8860882223043585	0.4610309559357806	0.001	0	0
2.7269999999999977e-09	0.04987116713603335	0.876908837870084	0.4780625020291772	0.001	0	0
2.827999999999987e-09	0.05181027021837485	0.8673638225876621	0.4949703972808118	0.001	0	0
2.928999999999976e-09	0.05375601634209491	0.857453242251332	0.5117462525511257	0.001	0	0
3.0299999999999653e-09	0.055708410527553834	0.8471773479996025	0.5283815977980593	0.001	0	0
3.1309999999999545e-09	0.057667457468017366	0.8365365805254219	0.5448678854229592	0.001	0	0
3.2319999999999438e-09	0.05963316152442166	0.8255315742653133	0.5611964937715068	0.001	0	0
3.332999999999933e-09	0.061605526720102013	0.8141631615630004	0.5773587307917698	0.001	0	0
3.433999999999922e-09	0.06358455673548662	0.8024323768029071	0.5933458378513796	0.001	0	0
3.5349999999999114e-09	0.06557025490275539	0.7903404605087643	0.6091489937157621	0.001	0	0
3.6359999999999006e-09	0.06756262420046433	0.7778888634024117	0.6247593186892366	0.001	0	0
3.736999999999895e-09	0.06956166724813717	0.7650792504177475	0.6401678789206975	0.001	0	0
3.837999999999926e-09	0.071567386300823	0.7519135046646062	0.6553656908755001	0.001	0	0
3.938999999999957e-09	0.07357978324362287	0.7383937313372406	0.6703437259750087	0.001	0	0
4.039999999999988e-09	0.07559885958618523	0.7245222615618869	0.6850929154052086	0.001	0	0
4.141000000000019e-09	0.07762461645716978	0.7103016561777997	0.6996041550955812	0.001	0	0
4.24200000000005e-09	0.07965705459868176	0.6957347094459599	0.7138683108693554	0.001	0	0
4.343000000000081e-09	0.08169617436067897	0.6808244526795334	0.7278762237660772	0.001	0	0
4.444000000000112e-09	0.08374197569534904	0.665574157790018	0.7416187155372925	0.001	0	0
4.545000000000143e-09	0.08579445815145958	0.6499873407428749	0.7550865943159735	0.001	0	0
4.646000000000174e-09	0.08785362086868297	0.6340677649162934	0.768270660460159	0.001	0	0
4.7470000000002046e-09	0.08991946257189526	0.6178194443566165	0.781161712571097	0.001	0	0
4.8480000000002355e-09	0.09199198156545224	0.6012466469238255	0.7937505536859801	0.001	0	0
4.9490000000002665e-09	0.09407117572744034	0.5843538973203222	0.8060279976452065	0.001	0	0
5.0500000000002975e-09	0.09615704250390673	0.5671459799961674	0.817984875633857	0.001	0	0
5.1510000000003285e-09	0.09824957890306914	0.5496279419237664	0.8296120428969056	0.001	0	0
5.2520000000003595e-09	0.10034878148950369	0.5318050952348998	0.8409003856274395	0.001	0	0
5.3530000000003905e-09	0.10245464637831533	0.5136830197128792	0.8518408280269538	0.001	0	0
5.4540000000004214e-09	0.10456716922929099	0.4952675651324886	0.8624243395365448	0.001	0	0
5.5550000000004524e-09	0.1066863452410359	0.4765648534402804	0.8726419422375853	0.001	0	0
5.656000000000483e-09	0.10881216914509595	0.45758128076768284	0.8824847184202163	0.001	0	0
5.757000000000514e-09	0.11094463520006444	0.4383235192692836	0.8919438183177364	0.001	0	0
5.858000000000545e-09	0.11308373718567921	0.4187985187785832	0.9010104680046833	0.001	0	0
5.959000000000576e-09	0.11522946839690751	0.3990135082734034	0.9096759774561529	0.001	0	0
6.060000000000607e-09	0.11738182163802102	0.3789759971430904	0.9179317487655938	0.001	0	0
6.161000000000638e-09	0.11954078921666336	0.3586937762495655	0.9257692845180365	0.001	0	0
6.262000000000669e-09	0.1217063629379119	0.33817491877422157	0.9331801963154165	0.001	0	0
6.3630000000007e-09	0.12387853409833352	0.3174277808426318	0.9401562134503232	0.001	0	0
6.464000000000731e-09	0.1260572934800372	0.2964610019189736	0.9466891917242184	0.001	0	0
6.565000000000762e-09	0.12824263134472638	0.2752835049620434	0.9527711224058164	0.001	0	0
6.666000000000793e-09	0.13043453742774913	0.25390449633473466	0.9583941413250043	0.001	0	0
6.767000000000824e-09	0.13263300093215136	0.23233346545882505	0.9635505380973219	0.001	0	0
6.868000000000855e-09	0.1348380105227341	0.21058018420691527	0.9682327654736947	0.001	0	0
6.969000000000886e-09	0.13704955432011318	0.18865470602338502	0.9724334488097393	0.001	0	0
7.070000000000917e-09	0.1392676198947899	0.1665673647662504	0.9761453956486055	0.001	0	0
7.171000000000948e-09	0.14149219426122714	0.14432877326184584	0.9793616054109526	0.001	0	0
7.272000000000979e-09	0.14372326387193837	0.12194982156429482	0.9820752791852765	0.001	0	0
7.37300000000101e-09	0.14596081461158894	0.09944167491180533	0.9842798296114266	0.001	0	0
7.474000000001022e-09	0.14820483179111152	0.07681577137189911	0.9859688908497592	0.001	0	0
7.57500000000097e-09	0.15045530014183897	0.05408381916777012	0.9871363286279884	0.001	0	0
7.676000000000917e-09	0.15271220380965594	0.03125779367808407	0.9877762503573846	0.001	0	0
7.777000000000864e-09	0.15497552634917133	0.008349934102644665	0.9878830153095832	0.001	0	0
7.878000000000812e-09	0.15724525071791318	-0.01462726021350803	0.9874512448448444	0.001	0	0
7.97900000000076e-09	0.15952135927055078	-0.03766103380484492	0.9864758326822014	0.001	0	0
8.080000000000707e-09	0.16180383375314436	-0.060738379466048396	0.9849519552015207	0.001	0	0
8.181000000000654e-09	0.1640926552974205	-0.08384604299558425	0.9828750817670755	0.001	0	0
8.282000000000602e-09	0.16638780441508377	-0.10697052830885323	0.9802409850618179	0.001	0	0
8.383000000000549e-09	0.1686892609921622	-0.1300981029274083	0.9770457514211139	0.001	0	0
8.484000000000496e-09	0.17099700428338796	-0.1532148038504748	0.9732857911542815	0.001	0	0
8.585000000000444e-09	0.1733110129066196	-0.1763064438147405	0.9689578488418553	0.001	0	0
8.686000000000391e-09	0.17563126483730412	-0.19935861794811766	0.9640590135960696	0.001	0	0
8.787000000000339e-09	0.1779577374029841	-0.22235671082284128	0.958586729271643	0.001	0	0
8.888000000000286e-09	0.18029040727785248	-0.24528590391296928	0.9525388046135195	0.001	0	0
8.989000000000234e-09	0.18262925047735531	-0.26813118346099685	0.9459134233278116	0.001	0	0
9.090000000000181e-09	0.1849742423528471	-0.2908773487579046	0.9387091540617767	0.001	0	0
9.191000000000128e-09	0.1873253575863013	-0.31350902084060617	0.930924960278247	0.001	0	0
9.292000000000076e-09	0.18968257018507811	-0.33601065161031535	0.9225602100095398	0.001	0	0
9.393000000000023e-09	0.19204585347675168	-0.3583665333749453	0.9136146854754634	0.001	0	0
9.49399999999997e-09	0.19441518010400072	-0.3805608088181439	0.9040885925496704	0.001	0	0
9.594999999999918e-09	0.19679052201956498	-0.40257748139715077	0.8939825700582034	0.001	0	0
9.695999999999866e-09	0.19917185048126984	-0.4244004261711107	0.8832976988937202	0.001	0	0
9.796999999999813e-09	0.20155913604712278	-0.44601340106095644	0.8720355109285342	0.001	0	0
9.89799999999976e-09	0.20395234857048328	-0.46740005854143973	0.860197997709231	0.001	0	0
9.998999999999708e-09	0.20635145719531311	-0.48854395776529225	0.8477876189153137	0.001	0	0
1.0099999999999655e-08	0.20875643035150174	-0.5094285771188861	0.8348073105640013	0.001	0	0
1.0200999999999603e-08	0.211167235750278	-0.5300373272081815	0.8212604929429805	0.001	0	0
1.030199999999955e-08	0.21358384037970857	-0.5503535642730711	0.8071510782526381	0.001	0	0
1.0402999999999498e-08	0.21600621050028354	-0.5703606040275543	0.7924834779390262	0.001	0	0
1.0503999999999445e-08	0.21843431164059673	-0.5900417359224925	0.7772626096985553	0.001	0	0
1.0604999999999393e-08	0.22086810859311798	-0.6093802378269829	0.761493904135173	0.001	0	0
1.070599999999934e-08	0.22330756541007096	-0.6283593911236269	0.7451833110505847	0.001	0	0
1.0806999999999287e-08	0.22575264539940432	-0.6469624962122158	0.7283373053478788	0.001	0	0
1.0907999999999235e-08	0.22820331112087205	-0.6651728884155936	0.7109628925287378	0.001	0	0
1.1008999999999182e-08	0.23065952438222148	-0.6829739542805844	0.6930676137643226	0.001	0	0
1.110999999999913e-08	0.23312124623549402	-0.7003491482661212	0.6746595505197468	0.001	0	0
1.1210999999999077e-08	0.23558843697343862	-0.7172820098098096	0.6557473287120166	0.001	0	0
1.1311999999999025e-08	0.23806105612604186	-0.7337561807633028	0.6363401223812495	0.001	0	0
1.1412999999998972e-08	0.24053906245718173	-0.7497554231859832	0.6164476568549486	0.001	0	0
1.151399999999892e-08	0.24302241396140645	-0.7652636374855284	0.5960802113851396	0.001	0	0
1.1614999999998867e-08	0.24551106786083587	-0.7802648808930253	0.5752486212382019	0.001	0	0
1.1715999999998814e-08	0.2480049806021996	-0.7947433862593247	0.5539642792173434	0.001	0	0
1.1816999999998762e-08	0.25050410785400634	-0.8086835811584191	0.5322391365977295	0.001	0	0
1.191799999999871e-08	0.2530084045038514	-0.8220701072826078	0.510085703454489	0.001	0	0
1.2018999999998657e-08	0.2555178246558639	-0.8348878401132591	0.48751704836397913	0.001	0	0
1.2119999999998604e-08	0.2580323216283009	-0.8471219088499669	0.46454679745894695	0.001	0	0
1.2220999999998551e-08	0.26055184795128616	-0.8587577165798925	0.441189132818503	0.001	0	0
1.2321999999998499e-08	0.26307635536470064	-0.8697809606680792	0.41745879017413473	0.001	0	0
1.2422999999998446e-08	0.26560579481623037	-0.8801776533484771	0.3933710559133822	0.001	0	0
1.2523999999998394e-08	0.2681401164595646	-0.8899341424944178	0.3689417633631894	0.001	0	0
1.2624999999998341e-08	0.27067926965276023	-0.8990371325462176	0.3441872883354207	0.001	0	0
1.2725999999998289e-08	0.2732232029567707	-0.9074737055725715	0.3191245439175431	0.001	0	0
1.2826999999998236e-08	0.2757718641341387	-0.9152313424413461	0.2937709744920425	0.001	0	0
1.2927999999998184e-08	0.27832520014786244	-0.9222979440743686	0.26814454896874385	0.001	0	0
1.3028999999998131e-08	0.28088315716043144	-0.9286618527597585	0.24226375321487784	0.001	0	0
1.3129999999998078e-08	0.2834456805330439	-0.9343118734943282	0.2161475816684753	0.001	0	0
1.3230999999998026e-08	0.2860127148250059	-0.9392372953275736	0.18981552812140476	0.001	0	0
1.3331999999997973e-08	0.2885842037933062	-0.9434279126777673	0.1632875756592221	0.001	0	0
1.343299999999792e-08	0.29116009039238433	-0.9468740465896663	0.13658418574588815	0.001	0	0
1.3533999999997868e-08	0.29374031677408496	-0.9495665659023831	0.10972628644233076	0.001	0	0
1.3634999999997816e-08	0.29632482428780904	-0.9514969082950051	0.08273525974883807	0.001	0	0
1.3735999999997763e-08	0.29891355348085724	-0.9526571011766201	0.055632928062315554	0.001	0	0
1.383699999999771e-08	0.3015064440989704	-0.9530397823864821	0.02844153974054866	0.001	0	0
1.3937999999997658e-08	0.3041034350870785	-0.952638220669183	0.0011837537667839485	0.001	0	0
1.4038999999997605e-08	0.30670446459024747	-0.9514463358888261	-0.02611737649084065	0.001	0	0
1.4139999999997553e-08	0.3093094699548381	-0.9494587189453911	-0.05343842042919905	0.001	0	0
1.42409999999975e-08	0.3119183877298751	-0.9466706513556835	-0.0807555882722619	0.001	0	0
1.4341999999997448e-08	0.3145311536686253	-0.943078124460526	-0.10804475004681485	0.001	0	0
1.4442999999997395e-08	0.3171477027303995	-0.9386778582191344	-0.13528145547181136	0.001	0	0
1.4543999999997343e-08	0.3197679690825656	-0.9334673195509775	-0.16244095475985537	0.001	0	0
1.464499999999729e-08	0.32239188610278857	-0.9274447401847965	-0.18949822032775016	0.001	0	0
1.4745999999997237e-08	0.32501938638148975	-0.9206091339739197	-0.21642796941142575	0.001	0	0
1.4846999999997185e-08	0.32765040172453425	-0.9129603136364914	-0.24320468757890862	0.001	0	0
1.494799999999721e-08	0.3302848631561507	-0.904498906878801	-0.26980265313325924	0.001	0	0
1.5048999999997325e-08	0.332922700922079	-0.8952263718595225	-0.29619596239564805	0.001	0	0
1.514999999999744e-08	0.33556384449294974	-0.8851450119523514	-0.3223585558569193	0.001	0	0
1.5250999999997554e-08	0.3382082225679028	-0.8742579897642865	-0.34826424518414123	0.001	0	0
1.5351999999997668e-08	0.34085576307844195	-0.8625693403666364	-0.373886741066706	0.001	0	0
1.5452999999997783e-08	0.3435063931925312	-0.8500839836957201	-0.3991996818846454	0.001	0	0
1.5553999999997897e-08	0.34616003931892797	-0.8368077360802365	-0.4241766631797863	0.001	0	0
1.5654999999998012e-08	0.34881662711177075	-0.822747320852314	-0.4487912679083904	0.001	0	0
1.5755999999998126e-08	0.35147608147539944	-0.807910377999433	-0.47301709745183884	0.001	0	0
1.585699999999824e-08	0.3541383265694291	-0.7923054728146279	-0.4968278033598556	0.001	0	0
1.5957999999998355e-08	0.35680328581407383	-0.7759421035027122	-0.5201971197986393	0.001	0	0
1.605899999999847e-08	0.3594708818957184	-0.7588307077007199	-0.5430988966741139	0.001	0	0
1.6159999999998584e-08	0.3621410367727407	-0.7409826678712387	-0.565507133398403	0.001	0	0
1.62609999999987e-08	0.3648136716815911	-0.722410315527968	-0.5873960132654037	0.001	0	0
1.6361999999998813e-08	0.36748870714311954	-0.7031269342535322	-0.608739938399207	0.001	0	0
1.6462999999998928e-08	0.3701660629691621	-0.6831467614704618	-0.6295135652368294	0.001	0	0
1.6563999999999042e-08	0.372845658269383	-0.6624849889271289	-0.6496918405046286	0.001	0	0
1.6664999999999157e-08	0.37552741145838	-0.6411577618615144	-0.6692500376455179	0.001	0	0
1.676599999999927e-08	0.3782112402630302	-0.619182176806854	-0.6881637936519143	0.001	0	0
1.6866999999999386e-08	0.38089706173011295	-0.5965762780044556	-0.7064091462571818	0.001	0	0
1.69679999999995e-08	0.38358479223417297	-0.5733590523903751	-0.7239625714362041	0.001	0	0
1.7068999999999615e-08	0.3862743474856596	-0.5495504231241946	-0.7408010211635043	0.001	0	0
1.716999999999973e-08	0.388965642539318	-0.5251712416296885	-0.7569019613753256	0.001	0	0
1.7270999999999844e-08	0.39165859180283646	-0.5002432781189851	-0.7722434100799294	0.001	0	0
1.737199999999996e-08	0.3943531090457556	-0.47478921057366485	-0.7868039755583658	0.001	0	0
1.7473000000000073e-08	0.39704910740863686	-0.44883261215820613	-0.8005628945959951	0.001	0	0
1.7574000000000188e-08	0.3997464994124904	-0.42239793704329853	-0.8135000706830894	0.001	0	0
1.7675000000000302e-08	0.40244519696846	-0.39551050461881865	-0.8255961121209603	0.001	0	0
1.7776000000000417e-08	0.4051451113877581	-0.36819648207850847	-0.8368323699682789	0.001	0	0
1.787700000000053e-08	0.40784615339187014	-0.3404828653609633	-0.8471909757604765	0.001	0	0
1.7978000000000646e-08	0.41054823312301225	-0.3123974584340374	-0.8566548789334886	0.001	0	0
1.807900000000076e-08	0.4132512601548377	-0.28396885091248963	-0.8652078838815357	0.001	0	0
1.8180000000000875e-08	0.415955143503395	-0.2552263940015451	-0.8728346865771184	0.001	0	0
1.828100000000099e-08	0.41865979163834666	-0.2262001747618763	-0.8795209106800639	0.001	0	0
1.8382000000001104e-08	0.42136511249443226	-0.19692098869464178	-0.8852531430611661	0.001	0	0
1.848300000000122e-08	0.42407101348318343	-0.1674203106482604	-0.8900189686648116	0.001	0	0
1.8584000000001333e-08	0.426777401504883	-0.1377302640519002	-0.8938070046339415	0.001	0	0
1.8685000000001447e-08	0.42948418296077406	-0.10788358848396296	-0.8966069336197874	0.001	0	0
1.8786000000001562e-08	0.4321912637655069	-0.07791360558728634	-0.8984095361980456	0.001	0	0
1.8887000000001677e-08	0.4348985493598274	-0.04785418334630477	-0.8992067223125151	0.001	0	0
1.898800000000179e-08	0.4376059447235074	-0.01773969874500705	-0.8989915616667357	0.001	0	0
1.9089000000001906e-08	0.4403133543885044	0.012395001171780537	-0.8977583129838331	0.001	0	0
1.919000000000202e-08	0.44302068245236015	0.04251463980750509	-0.8955024520545956	0.001	0	0
1.9291000000002135e-08	0.4457278325918248	0.07258355306328715	-0.8922206984938099	0.001	0	0
1.939200000000225e-08	0.4484347080767106	0.1025657328936216	-0.8879110411250423	0.001	0	0
1.9493000000002364e-08	0.4511412117839671	0.13242487233045636	-0.8825727619143946	0.001	0	0
1.9594000000002478e-08	0.4538472462119759	0.16212441193373986	-0.8762064583743023	0.001	0	0
1.9695000000002593e-08	0.45655271349506527	0.19162758762251514	-0.8688140643591454	0.001	0	0
1.9796000000002707e-08	0.459257515418235	0.22089747983658334	-0.8603988691753663	0.001	0	0
1.9897000000002822e-08	0.46196155343209055	0.24989706397469647	-0.8509655349298932	0.001	0	0
1.9998000000002936e-08	0.4646647286679779	0.2785892620511521	-0.8405201120419845	0.001	0	0
2.009900000000305e-08	0.46736694195333284	0.30693699550859194	-0.8290700528451209	0.001	0	0
2.0200000000003165e-08	0.4700680938272077	0.3349032391207257	-0.8166242232073224	0.001	0	0
2.030100000000328e-08	0.47276808455600283	0.3624510759146343	-0.8031929121001904	0.001	0	0
2.0402000000003394e-08	0.47546681414938274	0.3895437530383189	-0.788787839049144	0.001	0	0
2.050300000000351e-08	0.4781641823763687	0.41614473849513056	-0.7734221593997073	0.001	0	0
2.0604000000003623e-08	0.4808600887816222	0.44221777866281337	-0.7571104673372793	0.001	0	0
2.0705000000003738e-08	0.4835544327018821	0.46772695651100915	-0.7398687966006694	0.001	0	0
2.0806000000003853e-08	0.4862471132825865	0.4926367504272757	-0.7217146188326831	0.001	0	0
2.0907000000003967e-08	0.4889380294946432	0.516912093557967	-0.7026668395143394	0.001	0	0
2.100800000000408e-08	0.49162708015136414	0.5405184335666865	-0.6827457914327573	0.001	0	0
2.1109000000004196e-08	0.49431416392554905	0.5634217927095628	-0.6619732256364601	0.001	0	0
2.121000000000431e-08	0.49699917936670973	0.5855888281231926	-0.6403722998357546	0.001	0	0
2.1311000000004425e-08	0.4996820249184344	0.6069868922178392	-0.6179675642099881	0.001	0	0
2.141200000000454e-08	0.5023625989358912	0.6275840930654062	-0.5947849445878137	0.001	0	0
2.1513000000004654e-08	0.5050407997034548	0.6473493546687688	-0.5708517229711445	0.001	0	0
2.161400000000477e-08	0.5077165254524441	0.666252476996271	-0.5461965153782389	0.001	0	0
2.1715000000004883e-08	0.5103896743789815	0.6842641956626284	-0.5208492469862864	0.001	0	0
2.1816000000004998e-08	0.5130601446619707	0.7013562411350984	-0.49484112455901125	0.001	0	0
2.1917000000005112e-08	0.5157278344811527	0.7175013973416067	-0.46820460615016585	0.001	0	0
2.2018000000005227e-08	0.5183926420352691	0.7326735595556075	-0.4409733680791951	0.001	0	0
2.211900000000534e-08	0.5210544655603103	0.7468477914307038	-0.4131822691811049	0.001	0	0
2.2220000000005456e-08	0.5237132033478465	0.7600003810566118	-0.38486731233834603	0.001	0	0
2.232100000000557e-08	0.5263687537634236	0.7721088959068708	-0.35606560330849496	0.001	0	0
2.2422000000005685e-08	0.5290210152650314	0.7831522365477251	-0.32681530686763083	0.001	0	0
2.25230000000058e-08	0.5316698864216314	0.7931106889769863	-0.29715560029552307	0.001	0	0
2.2624000000005914e-08	0.5343152659317328	0.8019659754613051	-0.2671266242351099	0.001	0	0
2.272500000000603e-08	0.5369570526420053	0.8097013037402245	-0.2367694309651706	0.001	0	0
2.2826000000006143e-08	0.5395951455659469	0.8163014144656142	-0.20612593013164476	0.001	0	0
2.2927000000006258e-08	0.5422294439025606	0.8217526267456818	-0.17523883198965173	0.001	0	0
2.3028000000006372e-08	0.5448598470550658	0.8260428816636203	-0.14415158821491225	0.001	0	0
2.3129000000006487e-08	0.5474862546496226	0.8291617836421787	-0.11290833034999878	0.001	0	0
2.32300000000066e-08	0.5501085665540528	0.8311006395270278	-0.08155380595755901	0.001	0	0
2.3331000000006716e-08	0.5527266828965631	0.8318524952636689	-0.050133312559397215	0.001	0	0
2.343200000000683e-08	0.5553405040844657	0.831412170044914	-0.018692629447028576	0.001	0	0
2.3533000000006945e-08	0.5579499308228713	0.8297762878085914	0.012722052543972339	0.001	0	0
2.363400000000706e-08	0.5605548641333646	0.8269433059680771	0.04406420319685368	0.001	0	0
2.3735000000007174e-08	0.5631552053726426	0.8229135412616204	0.07528702690822447	0.001	0	0
2.3836000000007288e-08	0.5657508562511107	0.8176891926101107	0.10634353840216501	0.001	0	0
2.3937000000007403e-08	0.5683417188514358	0.8112743608769972	0.1371866400454148	0.001	0	0
2.4038000000007517e-08	0.5709276956470375	0.8036750654285155	0.1677692006388561	0.001	0	0
2.4139000000007632e-08	0.5735086895205128	0.7948992573971407	0.1980441355543707	0.001	0	0
2.4240000000007746e-08	0.5760846037819931	0.7849568295563447	0.22796448808015274	0.001	0	0
2.434100000000786e-08	0.5786553421874219	0.7738596227202261	0.2574835118317871	0.001	0	0
2.4442000000007975e-08	0.581220808956739	0.7616214285874534	0.28655475408077413	0.001	0	0
2.454300000000809e-08	0.5837809087919676	0.7482579889551253	0.31513213984684274	0.001	0	0
2.4644000000008204e-08	0.586335546895202	0.7337869912347064	0.3431700565952431	0.001	0	0
2.474500000000832e-08	0.5888846289864799	0.7182280602090372	0.370623439375377	0.001	0	0
2.4846000000008434e-08	0.5914280613215368	0.7016027459766174	0.39744785623250906	0.001	0	0
2.4947000000008548e-08	0.5939657507094351	0.6839345080368114	0.42359959372007605	0.001	0	0
2.5048000000008663e-08	0.596497604530055	0.6652486954774427	0.44903574233613675	0.001	0	0
2.5149000000008777e-08	0.5990235307514409	0.6455725232342814	0.47371428170389995	0.001	0	0
2.525000000000889e-08	0.6015434379470025	0.6249350444002606	0.49759416531305356	0.001	0	0
2.5351000000009006e-08	0.6040572353125528	0.6033671185708467	0.5206354046357404	0.001	0	0
2.545200000000912e-08	0.6065648326831921	0.5809013762207857	0.5427991524285694	0.001	0	0
2.5553000000009235e-08	0.6090661405500095	0.5575721791165293	0.5640477850299939	0.001	0	0
2.565400000000935e-08	0.6115610700765974	0.5334155767778037	0.5843449834608228	0.001	0	0
2.5755000000009464e-08	0.6140495331154007	0.5084692590112616	0.6036558131343612	0.001	0	0
2.585600000000958e-08	0.6165314422238646	0.48277250454866183	0.6219468019820993	0.001	0	0
2.5957000000009693e-08	0.6190067106803696	0.4563661258318009	0.6391860168005181	0.001	0	0
2.6058000000009808e-08	0.621475252499968	0.4292924099961192	0.6553431376249237	0.001	0	0
2.6159000000009922e-08	0.623936982449911	0.4015950561149234	0.6703895299368772	0.001	0	0
2.6260000000010037e-08	0.6263918160649492	0.3733191087760318	0.6842983145131367	0.001	0	0
2.636100000001015e-08	0.628839669662411	0.34451088807268093	0.6970444347257414	0.001	0	0
2.6462000000010266e-08	0.6312804603570427	0.31521791610055017	0.7086047211051738	0.001	0	0
2.656300000001038e-08	0.6337141060756114	0.2854888400627118	0.718957952981373	0.001	0	0
2.6664000000010495e-08	0.6361405255712543	0.2553733520942578	0.7280849170207241	0.001	0	0
2.676500000001061e-08	0.6385596384375942	0.22492210592825607	0.7359684624810112	0.001	0	0
