#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z
0	0	1	0	0.001	0	0
1.0099999999999994e-10	0.0017594982111688473	0.9998436643007445	0.0175940650136672	0.001	0	0
2.0199999999999959e-10	0.0035189855281427844	0.9993747080204795	0.03518251994718117	0.001	0	0
3.0299999999999926e-10	0.005278451056996742	0.9985932835945396	0.05275975657937007	0.001	0	0
4.039999999999989e-10	0.007037883904345249	0.9974996450245813	0.07032017040638422	0.001	0	0
5.049999999999986e-10	0.008797273177612214	0.9960941477927581	0.08785816249875424	0.001	0	0
6.059999999999982e-10	0.010556607985300634	0.9943772487416008	0.10536814135652817	0.001	0	0
7.069999999999979e-10	0.012315877437262287	0.9923495059196565	0.12284452476184714	0.001	0	0
8.079999999999975e-10	0.014075070644967276	0.9900115783929319	0.14028174162831997	0.001	0	0
9.089999999999972e-10	0.01583417672177366	0.9873642260222131	0.15767423384656049	0.001	0	0
1.010000000000005e-09	0.017593184783196752	0.9844083092063356	0.17501645812525132	0.001	0	0
1.111000000000015e-09	0.01935208394717848	0.9811447885915003	0.19230288782709873	0.001	0	0
1.2120000000000252e-09	0.021110863334356432	0.9775747247467318	0.20952801479904729	0.001	0	0
1.3130000000000353e-09	0.0228695120683331	0.9736992778055987	0.22668635119612282	0.001	0	0
1.4140000000000454e-09	0.02462801927594457	0.9695197070743183	0.24377243129827428	0.001	0	0
1.5150000000000555e-09	0.0263863740875293	0.9650373706063852	0.26078081331959074	0.001	0	0
1.6160000000000656e-09	0.028144565637196674	0.9602537247438742	0.27770608120927	0.001	0	0
1.7170000000000757e-09	0.02990258306309536	0.9551703236255755	0.2945428464437189	0.001	0	0
1.8180000000000857e-09	0.03166041550768126	0.9497888186621423	0.31128574980916374	0.001	0	0
1.919000000000084e-09	0.03341805211798551	0.9441109579784259	0.32792946317416916	0.001	0	0
2.0200000000000733e-09	0.0351754820458821	0.9381385858232036	0.3444686912514396	0.001	0	0
2.1210000000000625e-09	0.03693269444835524	0.9318736419465011	0.3608981733483128	0.001	0	0
2.2220000000000517e-09	0.038689678487766485	0.9253181609447316	0.37721268510533035	0.001	0	0
2.323000000000041e-09	0.04044642333212149	0.9184742715738802	0.39340704022229817	0.001	0	0
2.42400000000003e-09	0.042202918155336853	0.9113441960309748	0.40947609217124004	0.001	0	0
2.5250000000000193e-09	0.04395915213750605	0.9039302492041006	0.4254147358956484	0.001	0	0
2.6260000000000085e-09	0.0457151144651654	0.896234837891215	0.4412179094954607	0.001	0	0
2.7269999999999977e-09	0.04747079433155959	0.8882604599880425	0.4568805958971795	0.001	0	0
2.827999999999987e-09	0.04922618093690706	0.8800097036453354	0.4723978245085554	0.001	0	0
2.928999999999976e-09	0.05098126348866479	0.8714852463957906	0.48776467285727787	0.001	0	0
3.0299999999999653e-09	0.05273603120179286	0.862689854250938	0.5029762682131026	0.001	0	0
3.1309999999999545e-09	0.05449047329901822	0.8536263807683115	0.5180277891928603	0.001	0	0
3.2319999999999438e-09	0.056244579011098673	0.8442977660892311	0.5329144673478082	0.001	0	0
3.332999999999933e-09	0.0579983375770859	0.8347070359475387	0.5476315887327619	0.001	0	0
3.433999999999922e-09	0.0597517382445886	0.8248573006496268	0.5621744954564919	0.001	0	0
3.5349999999999114e-09	0.0615047702700345	0.8147517540261313	0.5765385872128358	0.001	0	0
3.6359999999999006e-09	0.06325742291893241	0.8043936723556416	0.5907193227920177	0.001	0	0
3.736999999999895e-09	0.0650096854661338	0.7937864132608168	0.6047122215716514	0.001	0	0
3.837999999999926e-09	0.0667615471960936	0.7829334145772912	0.6185128649869195	0.001	0	0
3.938999999999957e-09	0.06851299740313052	0.7718381931957687	0.6321168979794243	0.001	0	0
4.039999999999988e-09	0.07026402539168741	0.7605043438777037	0.6455200304242308	0.001	0	0
4.141000000000019e-09	0.07201462047659006	0.7489355380449975	0.6587180385345941	0.001	0	0
4.24200000000005e-09	0.07376477198330654	0.737135522544127	0.6717067662439078	0.001	0	0
4.343000000000081e-09	0.07551446924820553	0.7251081183851289	0.6844821265644122	0.001	0	0
4.444000000000112e-09	0.07726370161881363	0.712857219455905	0.697040102922174	0.001	0	0
4.545000000000143e-09	0.07901245845407293	0.700386791212282	0.7093767504679067	0.001	0	0
4.646000000000174e-09	0.0807607291245975	0.6877008693442842	0.7214881973631857	0.001	0	0
4.7470000000002046e-09	0.08250850301292914	0.6748035584190959	0.7333706460416122	0.001	0	0
4.8480000000002355e-09	0.08425576951379306	0.661699030501178	0.7450203744445113	0.001	0	0
4.9490000000002665e-09	0.08600251803435224	0.6483915237500356	0.7564337372307358	0.001	0	0
5.0500000000002975e-09	0.08774873799446184	0.6348853409961087	0.7676071669601803	0.001	0	0
5.1510000000003285e-09	0.08949441882692205	0.6211848482953014	0.7785371752505946	0.001	0	0
5.2520000000003595e-09	0.09123954997773105	0.6072944734626459	0.7892203539073158	0.001	0	0
5.3530000000003905e-09	0.09298412090633794	0.5932187045856175	0.7996533760255362	0.001	0	0
5.4540000000004214e-09	0.09472812108589228	0.578962088517617	0.8098329970647379	0.001	0	0
5.5550000000004524e-09	0.09647154000349653	0.5645292293521522	0.8197560558949346	0.001	0	0
5.656000000000483e-09	0.09821436716045559	0.5499247868782425	0.829419475814374	0.001	0	0
5.757000000000514e-09	0.09995659207252512	0.5351534750175981	0.8388202655383548	0.001	0	0
5.858000000000545e-09	0.10169820427016017	0.5202200602441074	0.847955520158836	0.001	0	0
5.959000000000576e-09	0.10343919329876401	0.5051293599861933	0.8568224220745158	0.001	0	0
6.060000000000607e-09	0.10517954871893367	0.4898862410125908	0.8654182418910726	0.001	0	0
6.161000000000638e-09	0.10691926010670659	0.4744956178021096	0.873740339291273	0.001	0	0
6.262000000000669e-09	0.10865831705380638	0.45896245089795057	0.8817861638746557	0.001	0	0
6.3630000000007e-09	0.1103967091678866	0.44329174524714937	0.8895532559665204	0.001	0	0
6.464000000000731e-09	0.11213442607277502	0.4274885485257251	0.8970392473959533	0.001	0	0
6.565000000000762e-09	0.11387145740871617	0.4115579494501195	0.9042418622426347	0.001	0	0
6.666000000000793e-09	0.1156077928326138	0.3955050760755076	0.9111589175521899	0.001	0	0
6.767000000000824e-09	0.11734342201827154	0.37933509408158295	0.9177883240198463	0.001	0	0
6.868000000000855e-09	0.11907833465663334	0.36305320504640254	0.9241280866421807	0.001	0	0
6.969000000000886e-09	0.1208125204560233	0.3466646447088959	0.9301763053367452	0.001	0	0
7.070000000000917e-09	0.12254596914238373	0.330174681220646	0.9359311755293757	0.001	0	0
7.171000000000948e-09	0.12427867045951335	0.3135886133875413	0.9413909887089927	0.001	0	0
7.272000000000979e-09	0.12601061416930337	0.2969117689019158	0.9465541329497276	0.001	0	0
7.37300000000101e-09	0.12774179005197356	0.2801495025657853	0.9514190934002009	0.001	0	0
7.474000000001022e-09	0.12947218790630735	0.26330719450580115	0.955984452739812	0.001	0	0
7.57500000000097e-09	0.13120179754988573	0.24639024838053566	0.9602488916018893	0.001	0	0
7.676000000000917e-09	0.1329306088193199	0.2294040895807234	0.964211188963582	0.001	0	0
7.777000000000864e-09	0.13465861157048364	0.2123541634230785	0.9678702225023734	0.001	0	0
7.878000000000812e-09	0.13638579567874445	0.19524593333831727	0.9712249689191096	0.001	0	0
7.97900000000076e-09	0.13811215103919244	0.17808487905400905	0.9742745042274514	0.001	0	0
8.080000000000707e-09	0.13983766756687133	0.16087649477288413	0.977018004009674	0.001	0	0
8.181000000000654e-09	0.14156233519700445	0.14362628734723004	0.979454743638736	0.001	0	0
8.282000000000602e-09	0.14328614388522343	0.1263397744500053	0.981584098466568	0.001	0	0
8.383000000000549e-09	0.1450090836077931	0.10902248274330135	0.9834055439785331	0.001	0	0
8.484000000000496e-09	0.1467311443618371	0.09167994604478558	0.9849186559140257	0.001	0	0
8.585000000000444e-09	0.14845231616556145	0.07431770349275583	0.9861231103531866	0.001	0	0
8.686000000000391e-09	0.15017258905847727	0.05694129771043878	0.9870186837697273	0.001	0	0
8.787000000000339e-09	0.1518919531016223	0.03955627297016674	0.9876052530498631	0.001	0	0
8.888000000000286e-09	0.1536103983777824	0.022168173358060664	0.9878827954773713	0.001	0	0
8.989000000000234e-09	0.15532791499171086	0.004782540939852295	0.9878513886847994	0.001	0	0
