#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z
0.000000e+00	-0.007671604499422032	0.021769703268073863	-0.00745696414932809	0	0	0.001
5.167234e-08	-0.005713260912807821	0.021011991708835043	0.01380341044715792	0	0	0.0009995041463153104
1.017611e-07	-0.011486392176788837	0.028279301611899194	0.009467911070182381	0	0	0.000998077363209977
1.533556e-07	-0.00994393546927181	0.024406886408278265	0.009783390275887484	0	0	0.000995635281908342
2.059187e-07	-0.0031363187960023074	0.018967676136269946	0.015159390725233866	0	0	0.0009921350725739068
2.578068e-07	-0.011594919073714228	0.027954467602141164	0.01752468342557592	0	0	0.0009876812019176697
3.082815e-07	-0.010502954441312027	0.02321211744152115	0.020923086113492986	0	0	0.0009824009137059673
3.594097e-07	-0.0097783701957574	0.01962901559360127	0.013804074186342897	0	0	0.0009761045249958737
4.090309e-07	-0.017184182434094517	0.027852154430313168	0.014192754779127188	0	0	0.0009690874340043569
4.585424e-07	-0.02401007906800567	0.03051395194302325	0.007789958022666046	0	0	0.0009612024954081654
5.092327e-07	-0.009436624702437212	0.024600789043543795	0.008065213646605467	0	0	0.0009522232154173431
5.625861e-07	-0.015139030722023333	0.03630354829777834	0.01240174926719498	0	0	0.0009417907310666989
6.116298e-07	-0.017771737636614653	0.02786508302546693	0.004422688768045155	0	0	0.0009313223230381615
6.633308e-07	-0.016484235756834588	0.03200749035025772	0.010309231967993993	0	0	0.0009193860342405891
7.155375e-07	-0.011928803900369428	0.03654585828120502	0.008187586893763449	0	0	0.0009064068346015423
7.665371e-07	-0.02533010185644301	0.021567701593679215	0.00011756240706136377	0	0	0.0008928416270006544
8.171306e-07	-0.01400752680208192	0.03425519041046007	-0.0026223108023383512	0	0	0.0008785321210288595
8.673218e-07	-0.021889810144287924	0.03493902102137507	0.0152010206465969	0	0	0.0008635110802148565
9.168211e-07	-0.017973668960449853	0.023385887930060908	0.014806473899339192	0	0	0.0008479057101129585
9.679957e-07	-0.005164281683676931	0.025968855045858344	0.010561006754840114	0	0	0.0008309610663630956
1.019866e-06	-0.0062117162931495966	0.026565009542055613	0.012165691504449745	0	0	0.000812961216680549
1.070744e-06	-0.002283231677956607	0.029993419560898855	0.008714626759397286	0	0	0.0007945165686031991
1.121246e-06	-0.005915433101645692	0.0315626349610389	0.018642979014338097	0	0	0.0007754526257861664
1.171548e-06	-0.017322082133624503	0.026378554602835648	0.00999537794239965	0	0	0.0007557338217676261
1.224348e-06	-0.003803427750259931	0.03030941183556352	0.012046259114977602	0	0	0.0007342723976385258
1.276780e-06	-0.004458504752429398	0.030320420879495824	0.019104958842286072	0	0	0.0007122077843270546
1.328023e-06	-0.0074015375415803775	0.026105068134657225	0.021070459347734195	0	0	0.0006899409216864248
1.378713e-06	-0.02221224554534978	0.03210546515392782	0.022924534083740625	0	0	0.0006672521947730951
1.429620e-06	-0.023280085440057063	0.019620402702231685	0.018060807613011647	0	0	0.0006438255464714071
1.482688e-06	-0.015327196296560442	0.03226298350298577	0.02692528659577498	0	0	0.0006187450408329343
1.533195e-06	-0.019802848841248062	0.02376724644158138	0.025776976494749214	0	0	0.0005942730503075619
1.583185e-06	-0.008039480405497061	0.036616103636256565	0.023541459739330115	0	0	0.0005694972934081638
1.635519e-06	-0.014939140927970516	0.026397391684585155	0.02322258284360693	0	0	0.0005429936818341347
1.686499e-06	-0.010371396660329895	0.02814450799531868	0.03761505255310392	0	0	0.0005166447650282877
