#t	<mx>	<my>	<mz>	u_anis_x	u_anis_y	u_anis_z
0.000000e+00	0	0.7071067811865475	0.7071067811865475	0	1	0
1.006696e-08	0.015028776366143274	0.9988474532524791	0.045583999517076465	1.253119438912128e-05	0.9999996746723369	0.0008065346797750722
2.039527e-08	-0.0001361293388349182	0.9989935157201398	0.044854620920452996	1.2536702943246104e-05	0.9999986185756469	0.0016621340586733416
3.049156e-08	-3.646578753591845e-05	0.9989667444608935	0.04544713556925445	1.2536710505813567e-05	0.999996879263571	0.002498260584962783
4.102779e-08	-3.1534474509654036e-05	0.9989269249268335	0.04631411946477807	1.2536729874898472e-05	0.9999943189751899	0.0033707358509036836
5.156466e-08	-2.6552337446209843e-05	0.9988863284622888	0.04718158651531319	1.2536755068755301e-05	0.999990997396865	0.004243226137352916
6.210113e-08	-2.1348741123618312e-05	0.9988449569791393	0.04804946890000526	1.2536786115072883e-05	0.9999869149257846	0.005115644635878269
7.263722e-08	-1.598442435960319e-05	0.9988028083497208	0.04891778589847977	1.2536823046082844e-05	0.9999820717488609	0.005987989953588327
8.317290e-08	-1.0522011605233776e-05	0.9987598807077621	0.04978655017074503	1.253686589283428e-05	0.9999764680561588	0.0068602606916168376
9.370819e-08	-5.02531500451915e-06	0.9987161724856437	0.050655767592370685	1.2536914684449974e-05	0.9999701040408906	0.007732455449357906
1.042431e-07	4.413811702338457e-07	0.9986716824489976	0.05152543715771658	1.2536969447446858e-05	0.9999629798993863	0.008604572828689766
1.147776e-07	5.814048534373929e-06	0.9986264097280964	0.05239555095395945	1.2537030205132914e-05	0.9999550958310447	0.009476611438113453
1.253117e-07	1.102964936356788e-05	0.9985803538454414	0.05326609420879335	1.2537096977089975e-05	0.999946452038266	0.01034856989661126
1.358453e-07	1.6026871327628906e-05	0.9985335147389488	0.05413704541458941	1.2537169778748943e-05	0.9999370487263668	0.011220446837042363
1.463786e-07	2.0746854180963294e-05	0.9984858927801417	0.05500837653132224	1.2537248621061408e-05	0.9999268861034881	0.012092240908917676
1.569115e-07	2.5133899225644147e-05	0.9984374887867878	0.05588005326965943	1.2537333510268707e-05	0.9999159643804963	0.012963950780427783
1.674440e-07	2.9136151359900088e-05	0.9983883040294895	0.05675203545428581	1.2537424447766932e-05	0.9999042837708862	0.013835575139630315
1.779761e-07	3.2706242841022446e-05	0.9983383402318279	0.05762427746584592	1.2537521430064168e-05	0.9998918444906902	0.014707112694745216
1.885078e-07	3.5801887619613415e-05	0.9982875995637953	0.0584967287579439	1.253762444882391e-05	0.9998786467584019	0.015578562173548593
1.990390e-07	3.8386415356365745e-05	0.9982360846283868	0.059369334443565486	1.2537733490986894e-05	0.999864690794914	0.016449922321893688
2.095699e-07	4.042923499690024e-05	0.9981837984413948	0.06024203594323522	1.2537848538962174e-05	0.9998499768234814	0.017321191901429726
2.201004e-07	4.190621907739516e-05	0.9981307444046181	0.061114771685343454	1.2537969570877206e-05	0.9998345050697064	0.018192369686625246
2.306305e-07	4.280000168208398e-05	0.9980769262728517	0.0619874778475186	1.2538096560876156e-05	0.9998182757615508	0.019063454461232514
2.411602e-07	4.3100185072521934e-05	0.9980223481151839	0.06286008912679893	1.2538229479455743e-05	0.9998012891293763	0.01993444501435523
2.516895e-07	4.28034523190585e-05	0.9979670142712449	0.06373253952575163	1.2538368293828222e-05	0.9997835454060054	0.020805340136300598
2.622184e-07	4.191358563859297e-05	0.9979109293031441	0.06460476314163785	1.2538512968302332e-05	0.9997650448268106	0.0216761386144064
2.727469e-07	4.0441392411032326e-05	0.9978540979438901	0.06547669494621285	1.2538663464674333e-05	0.9997457876298165	0.02254683922903651
2.832750e-07	3.8404542866736116e-05	0.9977965250431164	0.06634827154472925	1.2538819742623209e-05	0.9997257740558166	0.023417440749930397
2.938027e-07	3.582732508893246e-05	0.9977382155109112	0.06721943190406537	1.2538981760106236e-05	0.9997050043484975	0.024287941933079725
3.043301e-07	3.274032416183765e-05	0.9976791742605257	0.06809011804151312	1.2539149473753317e-05	0.9996834787545604	0.025158341518279143
3.148570e-07	2.918003299141699e-05	0.997619406150659	0.06896027566746321	1.2539322839260828e-05	0.9996611975238356	0.026028638227468565
3.253836e-07	2.5188402540654506e-05	0.997558915927969	0.06982985477687902	1.2539501811787668e-05	0.999638160909383	0.026898830763951005
3.359097e-07	2.081233899645472e-05	0.9974977081703711	0.07069881018591417	1.2539686346357914e-05	0.9996143691675694	0.027768917812523625
3.464355e-07	1.6103154852033057e-05	0.9974357872316442	0.07156710201118016	1.25398763982754e-05	0.9995898225581211	0.02863889804052074
3.569609e-07	1.1115980139428843e-05	0.9973731571878152	0.0724346960899601	1.2540071923556105e-05	0.9995645213441444	0.0295087700997204
3.674859e-07	5.909139264394998e-06	0.9973098217857801	0.07330156434004394	1.2540272879383681e-05	0.9995384657921119	0.030378532629026577
3.780105e-07	5.434981876968486e-07	0.9972457843946294	0.07416768505788074	1.2540479224592232e-05	0.9995116561718163	0.03124818425779887
3.885347e-07	-4.918213777857258e-06	0.9971810479601697	0.07503304315345975	1.2540690920178504e-05	0.9994840927562899	0.032117723609672875
3.990585e-07	-1.0412103471158844e-05	0.9971156149631887	0.07589763031986176	1.2540907929842828e-05	0.999455775821694	0.032987149306687315
4.095819e-07	-1.58738304027643e-05	0.9970494873820577	0.07676144513489656	1.2541130220555084e-05	0.9994267056471833	0.03385645997352238
4.201049e-07	-2.1239335465214934e-05	0.9969826666603241	0.07762449309180663	1.2541357763138312e-05	0.9993968825147516	0.0347256542416478
4.306275e-07	-2.64455761281573e-05	0.9969151536799787	0.0784867865558034	1.2541590532859128e-05	0.9993663067090649	0.035594730753185616
4.411497e-07	-3.143126131523077e-05	0.9968469487410996	0.07934834464332358	1.254182851001084e-05	0.9993349785172932	0.0364636881643065
4.516715e-07	-3.6137577948009454e-05	0.9967780515485517	0.08020919302142566	1.2542071680472247e-05	0.9993028982289456	0.037332525148003205
4.621929e-07	-4.05088999610697e-05	0.9967084612063597	0.08106936362572414	1.2542320036223105e-05	0.9992700661357212	0.038201240396114555
4.727140e-07	-4.4493469601133745e-05	0.996638176220266	0.08192889429665896	1.2542573575796122e-05	0.9992364825313822	0.039069832620509955
4.832346e-07	-4.804404013762094e-05	0.996567194508847	0.08278782833566829	1.2542832304645129e-05	0.9992021477116555	0.039938300553384036
4.937548e-07	-5.1118468862633025e-05	0.9964955134233682	0.08364621398485626	1.2543096235410108e-05	0.9991670619741702	0.040806642946652545
