#position_x	position_y	position_z	radius	msat
0	0	0	5.528786068083092e-09	400000
1e+07	0	0	2.7141267607347396e-08	400000
2e+07	0	0	4.2723559002546925e-09	400000
3e+07	0	0	1.7738465978636204e-08	400000
4e+07	0	0	2.244172320250106e-08	400000
5e+07	0	0	4.350502009746e-09	400000
6e+07	0	0	5.552919131257433e-08	400000
7e+07	0	0	2.1366401548104812e-08	400000
8e+07	0	0	3.0611795477723896e-09	400000
9e+07	0	0	9.377110318490614e-09	400000
1e+08	0	0	1.7675442165347445e-08	400000
1.1e+08	0	0	4.184290657660789e-09	400000
1.2e+08	0	0	7.669392073799494e-09	400000
1.3e+08	0	0	5.409213975167364e-09	400000
1.4e+08	0	0	4.515355866004828e-09	400000
1.5e+08	0	0	1.275820703768666e-08	400000
1.6e+08	0	0	8.964254502121462e-09	400000
1.7e+08	0	0	4.065921930333159e-09	400000
1.8e+08	0	0	2.3451777613055943e-08	400000
1.9e+08	0	0	5.3735288512531135e-09	400000
2e+08	0	0	1.65163406594433e-08	400000
2.1e+08	0	0	1.662247616661206e-08	400000
2.2e+08	0	0	1.994582134911029e-09	400000
2.3e+08	0	0	6.518839729794175e-09	400000
2.4e+08	0	0	6.873806389561752e-09	400000
2.5e+08	0	0	1.2585643407635193e-08	400000
2.6e+08	0	0	1.7973229844276406e-08	400000
2.7e+08	0	0	4.7152967849717524e-08	400000
2.8e+08	0	0	8.608923420965169e-08	400000
2.9e+08	0	0	3.311351796149416e-09	400000
3e+08	0	0	9.315337733006468e-09	400000
3.1e+08	0	0	1.599358232825191e-08	400000
3.2e+08	0	0	1.1592859892672346e-09	400000
3.3e+08	0	0	9.366842513813714e-09	400000
3.4e+08	0	0	2.2589826120267796e-08	400000
3.5e+08	0	0	1.0500017679466822e-08	400000
3.6e+08	0	0	1.7463197774585973e-08	400000
3.7e+08	0	0	6.207979674287859e-09	400000
3.8e+08	0	0	1.6627987899572046e-08	400000
3.9e+08	0	0	1.1520699969884274e-08	400000
4e+08	0	0	1.5714739761181895e-08	400000
4.1e+08	0	0	2.2857272275544865e-08	400000
4.2e+08	0	0	8.76154193664654e-09	400000
4.3e+08	0	0	5.4226577205648905e-09	400000
4.4e+08	0	0	1.445467727272288e-08	400000
4.5e+08	0	0	2.4035611312447144e-08	400000
4.6e+08	0	0	5.359784982098863e-09	400000
4.7e+08	0	0	3.3050946473537665e-08	400000
4.8e+08	0	0	7.401286504073169e-09	400000
4.9e+08	0	0	5.0738497698789035e-09	400000
5e+08	0	0	4.534299172153517e-08	400000
5.1e+08	0	0	4.5016323056949616e-08	400000
5.2e+08	0	0	3.976514699363262e-09	400000
5.3e+08	0	0	2.9068496497591437e-09	400000
5.4e+08	0	0	3.978102496746332e-08	400000
5.5e+08	0	0	1.9709372853349154e-08	400000
5.6e+08	0	0	2.4500678970438295e-09	400000
5.7e+08	0	0	1.4888969466235206e-08	400000
5.8e+08	0	0	3.238605241737501e-09	400000
5.9e+08	0	0	8.131790435350652e-08	400000
6e+08	0	0	1.3902813159507278e-08	400000
6.1e+08	0	0	5.8282941528730695e-08	400000
6.2e+08	0	0	1.8732135328079354e-08	400000
6.3e+08	0	0	3.893441380575648e-09	400000
6.4e+08	0	0	5.54191434355443e-09	400000
6.5e+08	0	0	5.173347604391346e-09	400000
6.6e+08	0	0	1.239515601000479e-08	400000
6.7e+08	0	0	4.8396860727432625e-08	400000
6.8e+08	0	0	8.306903818857404e-09	400000
6.9e+08	0	0	1.020054098648592e-08	400000
7e+08	0	0	2.5027699116346352e-08	400000
7.1e+08	0	0	8.459723443067609e-09	400000
7.2e+08	0	0	1.009724239392921e-08	400000
7.3e+08	0	0	9.944935689039823e-10	400000
7.4e+08	0	0	9.414875141169861e-09	400000
7.5e+08	0	0	1.7578705595839196e-08	400000
7.6e+08	0	0	6.715871056183966e-08	400000
7.7e+08	0	0	2.280019115377484e-08	400000
7.8e+08	0	0	2.1261735874240144e-09	400000
7.9e+08	0	0	1.2138958616714525e-08	400000
8e+08	0	0	3.6271287801682953e-09	400000
8.1e+08	0	0	1.5157403567657017e-08	400000
8.2e+08	0	0	7.354580131617632e-09	400000
8.3e+08	0	0	8.31538213612302e-10	400000
8.4e+08	0	0	6.982707028207695e-08	400000
8.5e+08	0	0	1.4775123853851931e-08	400000
8.6e+08	0	0	9.013792041309941e-09	400000
8.7e+08	0	0	7.330140809108046e-09	400000
8.8e+08	0	0	7.253084316079367e-09	400000
8.9e+08	0	0	4.455694496472351e-08	400000
9e+08	0	0	1.5221980941680527e-08	400000
9.1e+08	0	0	1.458187777208553e-09	400000
9.2e+08	0	0	5.489739514335517e-09	400000
9.3e+08	0	0	2.4562901291746203e-08	400000
9.4e+08	0	0	1.3936692285629374e-08	400000
9.5e+08	0	0	3.8274423594826335e-08	400000
9.6e+08	0	0	1.581879093009679e-08	400000
9.7e+08	0	0	3.409803332479622e-09	400000
9.8e+08	0	0	8.742694223438543e-09	400000
9.9e+08	0	0	4.537318267115367e-09	400000
1e+09	0	0	3.983581622102029e-09	400000
1.01e+09	0	0	2.6049190287931696e-08	400000
1.02e+09	0	0	3.0116935047235055e-09	400000
1.03e+09	0	0	2.487706735532609e-08	400000
1.04e+09	0	0	4.247972574167116e-08	400000
1.05e+09	0	0	2.5040950984368665e-08	400000
1.06e+09	0	0	7.821527650491742e-09	400000
1.07e+09	0	0	3.3531800909384605e-08	400000
1.08e+09	0	0	1.9032542825260058e-09	400000
1.09e+09	0	0	2.3624053639093715e-08	400000
1.1e+09	0	0	9.408258706764093e-09	400000
1.11e+09	0	0	6.994811327374593e-09	400000
1.12e+09	0	0	9.188170844461884e-09	400000
1.13e+09	0	0	2.5263829032255913e-08	400000
1.14e+09	0	0	5.225034491954929e-08	400000
1.15e+09	0	0	3.112292942877881e-09	400000
1.16e+09	0	0	2.3842257484983357e-08	400000
1.17e+09	0	0	1.3716502770611937e-09	400000
1.18e+09	0	0	1.8969518471243553e-09	400000
1.19e+09	0	0	3.2847657071321894e-09	400000
1.2e+09	0	0	1.0973782331395335e-08	400000
1.21e+09	0	0	5.947306360213954e-08	400000
1.22e+09	0	0	7.61333777097874e-09	400000
1.23e+09	0	0	1.417180927988495e-08	400000
1.24e+09	0	0	1.6417404403999048e-08	400000
1.25e+09	0	0	4.731965760145315e-09	400000
1.26e+09	0	0	1.773461953758346e-08	400000
1.27e+09	0	0	1.2366189705042384e-08	400000
1.28e+09	0	0	3.9317052892356386e-09	400000
1.29e+09	0	0	2.204548798272479e-08	400000
1.3e+09	0	0	2.2550859150952917e-08	400000
1.31e+09	0	0	7.8631425507688e-09	400000
1.32e+09	0	0	6.614606186150219e-09	400000
1.33e+09	0	0	2.072338261698457e-08	400000
1.34e+09	0	0	4.327914504686332e-09	400000
1.35e+09	0	0	9.795726668385737e-09	400000
1.36e+09	0	0	6.19774893494723e-09	400000
1.37e+09	0	0	8.06201709828762e-09	400000
1.38e+09	0	0	5.586975853976985e-09	400000
1.39e+09	0	0	2.5913354360906743e-09	400000
1.4e+09	0	0	1.4651182679325702e-09	400000
1.41e+09	0	0	1.4230389006818632e-08	400000
1.42e+09	0	0	6.38495018700549e-08	400000
1.43e+09	0	0	1.7130286011442377e-08	400000
1.44e+09	0	0	1.44719705174968e-08	400000
1.45e+09	0	0	1.9159949809416625e-08	400000
1.46e+09	0	0	7.261498910393982e-08	400000
1.47e+09	0	0	1.160727931200637e-08	400000
1.48e+09	0	0	1.4453804973787248e-08	400000
1.49e+09	0	0	2.8560196633583535e-08	400000
1.5e+09	0	0	1.1088821159118529e-08	400000
1.51e+09	0	0	6.231088913111872e-09	400000
1.52e+09	0	0	3.34097022237752e-09	400000
1.53e+09	0	0	2.2746826680105517e-08	400000
1.54e+09	0	0	3.463807192728555e-09	400000
1.55e+09	0	0	4.3954638771604006e-09	400000
1.56e+09	0	0	8.536377988258293e-09	400000
1.57e+09	0	0	2.010782003514693e-09	400000
1.58e+09	0	0	3.977490687590057e-09	400000
1.59e+09	0	0	3.827318536841224e-09	400000
1.6e+09	0	0	7.088862015089037e-09	400000
1.61e+09	0	0	2.375050825499566e-08	400000
1.62e+09	0	0	6.257931939720795e-08	400000
1.63e+09	0	0	1.4623042704844562e-08	400000
1.64e+09	0	0	6.1806212701232125e-09	400000
1.65e+09	0	0	6.087985419156286e-09	400000
1.66e+09	0	0	9.752661023390708e-09	400000
1.67e+09	0	0	9.816627802216275e-09	400000
1.68e+09	0	0	1.2604273107428915e-09	400000
1.69e+09	0	0	3.307432492893886e-09	400000
1.7e+09	0	0	1.464392392752239e-09	400000
1.71e+09	0	0	2.6507021012316915e-08	400000
1.72e+09	0	0	4.1627196959733264e-08	400000
1.73e+09	0	0	4.061099590989829e-09	400000
1.74e+09	0	0	5.110620094252422e-09	400000
1.75e+09	0	0	9.05318402847606e-09	400000
1.76e+09	0	0	3.024330340316053e-09	400000
1.77e+09	0	0	6.912225696894279e-09	400000
1.78e+09	0	0	3.438172623998946e-08	400000
1.79e+09	0	0	1.4403894697729001e-08	400000
1.8e+09	0	0	6.006133643895463e-09	400000
1.81e+09	0	0	3.831231572244036e-09	400000
1.82e+09	0	0	4.070436972864861e-08	400000
1.83e+09	0	0	1.3701301190847326e-08	400000
1.84e+09	0	0	4.995408693994535e-08	400000
1.85e+09	0	0	6.15678469614358e-10	400000
1.86e+09	0	0	8.841062875144443e-09	400000
1.87e+09	0	0	1.2109581931696826e-08	400000
1.88e+09	0	0	6.82527225063375e-09	400000
1.89e+09	0	0	4.609380387594405e-09	400000
1.9e+09	0	0	3.6385054897189415e-09	400000
1.91e+09	0	0	2.0760373313787185e-08	400000
1.92e+09	0	0	4.968818758016914e-09	400000
1.93e+09	0	0	1.5611383339074544e-08	400000
1.94e+09	0	0	1.1484252368229946e-08	400000
1.95e+09	0	0	1.284144936984199e-08	400000
1.96e+09	0	0	1.3883410224097845e-09	400000
1.97e+09	0	0	1.2831751276058687e-08	400000
1.98e+09	0	0	1.1340336680767734e-08	400000
1.99e+09	0	0	5.3464911802804186e-08	400000
2e+09	0	0	5.149054883124584e-08	400000
2.01e+09	0	0	8.849583316906286e-09	400000
2.02e+09	0	0	3.059813705417403e-09	400000
2.03e+09	0	0	4.123641456708178e-09	400000
2.04e+09	0	0	2.8922258660114625e-09	400000
2.05e+09	0	0	4.8975924316964126e-08	400000
2.06e+09	0	0	9.254065823853673e-09	400000
2.07e+09	0	0	8.312424524754996e-09	400000
2.08e+09	0	0	2.0866822603702715e-09	400000
2.09e+09	0	0	5.952666915765802e-09	400000
2.1e+09	0	0	6.891049370316023e-09	400000
2.11e+09	0	0	4.222070924518796e-08	400000
2.12e+09	0	0	4.724199143287783e-09	400000
2.13e+09	0	0	1.3185212856417642e-08	400000
2.14e+09	0	0	5.3247178728159706e-09	400000
2.15e+09	0	0	5.159527305756651e-09	400000
2.16e+09	0	0	1.443412518126994e-08	400000
2.17e+09	0	0	2.9240148267396764e-08	400000
2.18e+09	0	0	3.509144447401261e-09	400000
2.19e+09	0	0	1.4485929629172166e-08	400000
2.2e+09	0	0	2.5291782045867095e-09	400000
2.21e+09	0	0	3.894085804411825e-09	400000
2.22e+09	0	0	1.7641053586752364e-08	400000
2.23e+09	0	0	1.9820723785613503e-08	400000
2.24e+09	0	0	4.7630030773797857e-08	400000
2.25e+09	0	0	2.197367419250336e-09	400000
2.26e+09	0	0	2.7211087289202323e-08	400000
2.27e+09	0	0	1.7840338211260467e-08	400000
2.28e+09	0	0	2.3448521754490525e-09	400000
2.29e+09	0	0	2.0912809129439405e-08	400000
2.3e+09	0	0	3.3416978850257496e-08	400000
2.31e+09	0	0	7.0033624747800445e-09	400000
2.32e+09	0	0	9.059442100902264e-09	400000
2.33e+09	0	0	7.257915356813756e-09	400000
2.34e+09	0	0	1.3595878617848305e-08	400000
2.35e+09	0	0	3.5969507182386454e-09	400000
2.36e+09	0	0	2.9462198977415365e-08	400000
2.37e+09	0	0	4.2929794945990955e-08	400000
2.38e+09	0	0	1.3092085992588755e-08	400000
2.39e+09	0	0	8.362183491147895e-08	400000
2.4e+09	0	0	1.951960399626391e-08	400000
2.41e+09	0	0	1.679131884299434e-08	400000
2.42e+09	0	0	2.6123938853109068e-08	400000
2.43e+09	0	0	8.808365432744397e-09	400000
2.44e+09	0	0	8.003592814798458e-08	400000
2.45e+09	0	0	2.8072699093749043e-08	400000
2.46e+09	0	0	1.7004003601554625e-08	400000
2.47e+09	0	0	3.048665143435695e-08	400000
2.48e+09	0	0	6.571611271455979e-09	400000
2.49e+09	0	0	3.089577770341448e-09	400000
2.5e+09	0	0	5.730103084962969e-09	400000
2.51e+09	0	0	1.3732373084633266e-08	400000
2.52e+09	0	0	8.446177105690814e-08	400000
2.53e+09	0	0	7.000150338899209e-09	400000
2.54e+09	0	0	5.8690607194258245e-09	400000
2.55e+09	0	0	3.992893122287762e-09	400000
2.56e+09	0	0	4.434148823162018e-09	400000
2.57e+09	0	0	1.7925728859574845e-08	400000
2.58e+09	0	0	1.9810488870308175e-09	400000
2.59e+09	0	0	3.112480223524958e-08	400000
2.6e+09	0	0	2.665815923210179e-08	400000
2.61e+09	0	0	3.892441110145934e-09	400000
2.62e+09	0	0	3.1968372526781505e-09	400000
2.63e+09	0	0	2.9208707312787065e-08	400000
2.64e+09	0	0	4.529683168294784e-08	400000
2.65e+09	0	0	2.7014852944604286e-09	400000
2.66e+09	0	0	7.239016655842895e-09	400000
2.67e+09	0	0	3.3851222360857305e-09	400000
2.68e+09	0	0	3.153134157918072e-09	400000
2.69e+09	0	0	7.916485722405852e-09	400000
2.7e+09	0	0	7.11936136207329e-09	400000
2.71e+09	0	0	7.554041939256871e-09	400000
2.72e+09	0	0	9.19984804530239e-10	400000
2.73e+09	0	0	3.6634180139707186e-08	400000
2.74e+09	0	0	6.144193890912138e-09	400000
2.75e+09	0	0	9.324772344830872e-09	400000
2.76e+09	0	0	6.460688993211357e-08	400000
2.77e+09	0	0	2.5020024180392897e-08	400000
2.78e+09	0	0	9.766350906842976e-09	400000
2.79e+09	0	0	1.3163287604405877e-08	400000
2.8e+09	0	0	2.746524534110919e-09	400000
2.81e+09	0	0	4.030026025428336e-09	400000
2.82e+09	0	0	2.048679081076606e-08	400000
2.83e+09	0	0	9.96285436624339e-09	400000
2.84e+09	0	0	3.5817976452450625e-08	400000
2.85e+09	0	0	3.374820424307652e-08	400000
2.86e+09	0	0	4.587033843025919e-09	400000
2.87e+09	0	0	9.799080209292113e-10	400000
2.88e+09	0	0	3.963500772224719e-08	400000
2.89e+09	0	0	4.221323246031147e-09	400000
2.9e+09	0	0	2.358470680912884e-09	400000
2.91e+09	0	0	2.3221542315374602e-09	400000
2.92e+09	0	0	8.901159454121083e-10	400000
2.93e+09	0	0	1.1342001293053066e-08	400000
2.94e+09	0	0	5.9308443087815224e-08	400000
2.95e+09	0	0	2.1963596580728192e-08	400000
2.96e+09	0	0	2.9184993973867756e-09	400000
2.97e+09	0	0	1.161241246839358e-08	400000
2.98e+09	0	0	1.6457652628750554e-08	400000
2.99e+09	0	0	1.5125678947924173e-09	400000
3e+09	0	0	1.1508036572328282e-08	400000
3.01e+09	0	0	1.1939006022337179e-09	400000
3.02e+09	0	0	2.556626031203239e-08	400000
3.03e+09	0	0	1.1809810034911835e-08	400000
3.04e+09	0	0	1.6947933923684902e-08	400000
3.05e+09	0	0	2.308894148759331e-08	400000
3.06e+09	0	0	2.4128029624148104e-09	400000
3.07e+09	0	0	1.7284333123080857e-08	400000
3.08e+09	0	0	5.051817988826495e-09	400000
3.09e+09	0	0	7.78103832359174e-09	400000
3.1e+09	0	0	3.2437367141147287e-09	400000
3.11e+09	0	0	2.284253641329636e-09	400000
3.12e+09	0	0	4.861381857131393e-09	400000
3.13e+09	0	0	9.449516964733976e-08	400000
3.14e+09	0	0	9.289856754300584e-09	400000
3.15e+09	0	0	1.568173430206835e-08	400000
3.16e+09	0	0	2.0475258052411877e-08	400000
3.17e+09	0	0	1.9122002154644534e-08	400000
3.18e+09	0	0	1.7841883876704465e-09	400000
3.19e+09	0	0	1.7664820375179028e-08	400000
3.2e+09	0	0	2.1016004008591845e-08	400000
3.21e+09	0	0	1.2243930385234619e-08	400000
3.22e+09	0	0	7.911838932686809e-10	400000
3.23e+09	0	0	1.0255129272756312e-08	400000
3.24e+09	0	0	3.3591701302491584e-09	400000
3.25e+09	0	0	1.519827567436034e-08	400000
